,title,source,description,url,publishedAt,content
38,"One Exchange Could Be Pushing Whole Market Down, Here's Which One",Biztoc.com,"The cryptocurrency market has experienced significant fluctuations recently, with some analysts pointing toward the Ethereum (ETH) staking unlock as one of the possible reasons for this market downturn. The second wave of full withdrawals from staking is curr",https://biztoc.com/x/136a2167780ca9bd,1682076245,"The cryptocurrency market has experienced significant fluctuations recently, with some analysts pointing toward the Ethereum (ETH) staking unlock as one of the possible reasons for this market downtu [+245 chars]"
39,$190B Ontario pension says no to crypto after FTX investment loss,Cointelegraph,The pension fund is now looking to direct its investment toward more traditional markets such as real estate and aiming to gain exposure to the private credit sector.,https://cointelegraph.com/news/190b-ontario-pension-says-no-to-crypto-after-ftx-investment-collapse,1682076073,"The Onatario Teachers Pension Plan has decided to steer its investment away from cryptocurrencies.
The decision comes after the OTPP which manages over $190 billion in assets lost the entirety of  [+2097 chars]"
40,"Larry Summers says the Fed has inflation on the ropes, calls out crypto frauds, and bemoans the debt-ceiling fiasco. Here are the ex-Treasury chief's 12 best quotes from a new interview.",Business Insider,"The Fed's final interest-rate hike might be in May, stagflation remains a risk, and banking regulation may need an overhaul, Larry Summers said.",https://markets.businessinsider.com/news/stocks/summers-fed-inflation-recession-banking-crisis-crypto-fraud-debt-ceiling-2023-4,1682075932,"The Federal Reserve might only need to hike interest rates once more to conquer inflation, but there's still a risk of ""stagflation"" or a painful combination of soaring prices and stagnant economic g [+3801 chars]"
41,Americans view crypto investing as unreliable. Theyre right,Biztoc.com,Cryptocurrency investing is like going to a ritzy casino  the sights and sounds of winning dont mean the vast majority of people are richer than when they started playing. Its all part of the lure and illusion. If you have a personal finance question for W,https://biztoc.com/x/f2dd30f048140716,1682075911,Cryptocurrency investing is like going to a ritzy casino the sights and sounds of winning dont mean the vast majority of people are richer than when they started playing. Its all part of the lure and [+325 chars]
42,Mester Says Still More Work Needed in Inflation Fight; Yellen Takes Hawkish Stand Over China; Fed Rethinks Bank-Capital Loophole,Marketscreener.com,"(marketscreener.com)  Mester Says Still More Work Needed in Inflation Fight; Yellen Takes Hawkish Stand Over China; Fed Rethinks Bank-Capital Loophole By James Christie  Good day. Inflation is still too high and proving to be stubborn, Federal Reserve Bank",https://www.marketscreener.com/news/latest/Mester-Says-Still-More-Work-Needed-in-Inflation-Fight-Yellen-Takes-Hawkish-Stand-Over-China-Fed-Re--43602202/?utm_medium=RSS&utm_content=20230421,1682075768,"Mester Says Still More Work Needed in Inflation Fight; Yellen Takes Hawkish Stand Over China; Fed Rethinks Bank-Capital Loophole By James Christie 
Good day. Inflation is still too high and proving  [+9777 chars]"
43,Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border Deals,Biztoc.com,"Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border Deals The Global Crypto Market Cap is down by 1.87% to $1.19T at the time of writing this article. Over the past 24 hours, the overall volume of the Cryptocurrency Market has decreased",https://biztoc.com/x/5c5684bff32d57e0,1682075767,"Russian Central Bank Plans to Allow Cryptocurrency Mining for Cross-Border DealsThe Global Crypto Market Cap is down by 1.87% to $1.19T at the time of writing this article. Over the past 24 hours, th [+296 chars]"
44,"One Exchange Could Be Pushing Whole Market Down, Here's Which One",U.Today,Ethereum withdrawals from Kraken exchange can single-handedly push market down,https://u.today/one-exchange-could-be-pushing-whole-market-down-heres-which-one,1682075520,Disclaimer: The opinion expressed here is not investment advice it is provided for informational purposes only. It does not necessarily reflect the opinion of U.Today. Every investment and all tradin [+1914 chars]
45,Binance full steam ahead in crypto positive MENA region,Biztoc.com,"Virtual asset laws in the Middle East and North Africa region (MENA) have given it a competitive advantage in cryptocurrency markets and trading. Binance is taking advantage. Binance licenced in MENA Binance, the largest cryptocurrency trading platform in the",https://biztoc.com/x/bfac5ecdf940d5ab,1682075408,Virtual asset laws in the Middle East and North Africa region (MENA) have given it a competitive advantage in cryptocurrency markets and trading. Binance is taking advantage.Binance licenced in MENAB [+299 chars]
46,OKB Unfazed By Crypto Market Bloodshed With 22% Gain Today,Biztoc.com,"OKB, the native cryptocurrency of the OKX exchange, is defying the odds in the midst of the current crypto market downturn, registering an unexpected surge in price and demand. Despite the latest turbulence in the crypto industry, OKB has managed to maintain ",https://biztoc.com/x/039db00254f5e5de,1682075287,"OKB, the native cryptocurrency of the OKX exchange, is defying the odds in the midst of the current crypto market downturn, registering an unexpected surge in price and demand. Despite the latest tur [+283 chars]"
47,Introducing Crypto Family: A Groundbreaking Platform for the Cryptocurrency Community,Yahoo Entertainment,"Crypto Family Group, which aims to be a leader in Decentralized Finance (DeFi), offers a unique opportunity for its members to rent Family NFT through a...",https://finance.yahoo.com/news/introducing-crypto-family-groundbreaking-platform-110000282.html,1682074800,"DUBAI, UAE / ACCESSWIRE / April 21, 2023 / Crypto Family Group, which aims to be a leader in Decentralized Finance (DeFi), offers a unique opportunity for its members to rent Family NFT through a ren [+3308 chars]"
48,Binance full steam ahead in crypto positive MENA region,Crypto Daily,"Virtual asset laws in the Middle East and North Africa region (MENA) have given it a competitive advantage in cryptocurrency markets and trading. Binance is taking advantage.Binance licenced in MENABinance, the largest cryptocurrency trading platform in the",https://cryptodaily.co.uk/2023/04/binance-full-steam-ahead-in-crypto-positive-mena-region,1682074734,"Virtual asset laws in the Middle East and North Africa region (MENA) have given it a competitive advantage in cryptocurrency markets and trading. Binance is taking advantage.
Binance licenced in MEN [+2298 chars]"
49,"Gemini to Open Engineering Hub in India, Recruit Tech Talent",Biztoc.com,"Coinspeaker Gemini to Open Engineering Hub in India, Recruit Tech Talent United States-based cryptocurrency exchange Gemini has revealed its plans to tap into Indias pool of tech talent with the foundation of a new engineering hub in the country. In a statem",https://biztoc.com/x/41f437dbb8065c8c,1682074686,"CoinspeakerGemini to Open Engineering Hub in India, Recruit Tech TalentUnited States-based cryptocurrency exchange Gemini has revealed its plans to tap into Indias pool of tech talent with the founda [+323 chars]"
50,Links 4/21/2023,Nakedcapitalism.com,Our luxuriously appointed daily links,https://www.nakedcapitalism.com/2023/04/links-4-21-2023.html,1682074502,"Tiny Worms Get the Munchies, Too Smithsonian
SpaceX giant rocket explodes minutes after launch from Texas AP. Everything after clearing the tower was icing on the cake. Oh.
Getting on an elevator [+11457 chars]"
51,How High Could XRP Rise by 2025 if Ripple Wins Lawsuit Against the SEC?,Biztoc.com,"Ripples native token XRP is hovering around the $0.47 mark after reaching a yearly high of $0.57 last month. XRP surged in price after Bitcoin and Ethereum climbed above $30,000 and $1,900 respectively. However, XRP began sliding in the indices as investors ",https://biztoc.com/x/223c3da5711784fe,1682073846,"Ripples native token XRP is hovering around the $0.47 mark after reaching a yearly high of $0.57 last month. XRP surged in price after Bitcoin and Ethereum climbed above $30,000 and $1,900 respective [+304 chars]"
52,3CX hack highlights risk of cascading software supply-chain compromises,Csoonline.com,"At the end of March, an international VoIP software company called 3CX with over 600,000 business customers suffered a serious software supply-chain compromise that resulted in both its Windows and macOS applications being poisoned with malicious code. New ev",https://www.csoonline.com/article/3694154/3cx-hack-highlights-risk-of-cascading-software-supply-chain-compromises.html,1682073840,"At the end of March, an international VoIP software company called 3CX with over 600,000 business customers suffered a serious software supply-chain compromise that resulted in both its Windows and m [+7345 chars]"
